name,case
Alabama,36
Alaska,6
Arizona,20
Arkansas,22
California,448
Colorado,183
Connecticut,68
Delaware,16
District of Columbia,31
Florida,216
Georgia,146
Hawaii,14
Idaho,8
Illinois,160
Indiana,39
Iowa,23
Kansas,16
Kentucky,26
Louisiana,196
Maine,32
Maryland,57
Massachusetts,218
Michigan,65
Minnesota,60
Mississippi,21
Missouri,15
Montana,9
Nebraska,21
Nevada,45
New Hampshire,26
New Jersey,265
New Mexico,23
New York,1374
North Carolina,40
North Dakota,3
Ohio,67
Oklahoma,19
Oregon,67
Pennsylvania,96
Rhode Island,21
South Carolina,47
South Dakota,11
Tennessee,73
Texas,64
Utah,51
Vermont,17
Virginia,67
Washington,1012
West Virginia,1
Wisconsin,72
Wyoming,15
