name,number
Alabama,51
Alaska,6
Arizona,27
Arkansas,33
California,574
Colorado,216
Connecticut,96
Delaware,26
District of Columbia,39
Florida,328
Georgia,197
Hawaii,16
Idaho,11
Illinois,288
Indiana,56
Iowa,38
Kansas,21
Kentucky,35
Louisiana,280
Maine,42
Maryland,85
Massachusetts,256
Michigan,80
Minnesota,77
Mississippi,34
Missouri,22
Montana,12
Nebraska,27
Nevada,45
New Hampshire,39
New Jersey,427
New Mexico,28
New York,2382
North Carolina,74
North Dakota,7
Ohio,88
Oklahoma,31
Oregon,75
Pennsylvania,133
Rhode Island,33
South Carolina,60
South Dakota,11
Tennessee,98
Texas,83
Utah,63
Vermont,19
Virginia,77
Washington,1187
West Virginia,2
Wisconsin,106
Wyoming,18
