name,rate
Alabama,3.3
Alaska,6.3
Arizona,4.9
Arkansas,3.4
California,4.1
Colorado,2.9
Connecticut,3.6
Delaware,3.3
District of Columbia,5.6
Florida,3.3
Georgia,3.6
Hawaii,2.8
Idaho,2.9
Illinois,4.2
Indiana,3.4
Iowa,2.5
Kansas,3.3
Kentucky,4.3
Louisiana,4.3
Maine,3
Maryland,3.8
Massachusetts,2.9
Michigan,4.3
Minnesota,3.4
Mississippi,5.1
Missouri,3.3
Montana,3.4
Nebraska,3.1
Nevada,4.1
New Hampshire,2.5
New Jersey,3.3
New Mexico,4.9
New York,4
North Carolina,4.2
North Dakota,2.4
Ohio,4
Oklahoma,3.2
Oregon,4
Pennsylvania,3.9
Rhode Island,3.5
South Carolina,3.4
South Dakota,2.9
Tennessee,3.5
Texas,3.4
Utah,2.8
Vermont,2.1
Virginia,2.9
Washington,4.6
West Virginia,4.7
Wisconsin,3
Wyoming,3.6
